text,label
"Публичное акционерное общество [ORGANIZATION] (ПАО [ORGANIZATION]) [PERSON] Генерального директора ООО [ORGANIZATION]-[OBJECT] для корреспонденции: [LOCATION] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION].ru ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Участие сотрудников ООО [ORGANIZATION]-[OBJECT] в выездных мероприятиях функции Уважаемый [PERSON]! [DATE_TIME] состоится II Очный клуб директоров по бизнес-трансформации в г. [LOCATION]. Цель мероприятия определить барьеры и пути их преодоления в рамках реализации программы бизнес-трансформации ДО разведки и добычи. Для участия во встрече приглашен [PERSON]. [DATE_TIME] состоится выездная стратегическая сессия Будущее ЦТ РиД, которая пройдет в [LOCATION]. Цель сессии определить стратегические направления развития ЦТ в периметре ДО разведки и добычи. Для участия в сессии приглашен [PERSON]. [DATE_TIME] состоится совмещенная сессия VII Слет администраторов системы И.Д.Е.Я. и XIII ЛИНейка: сессия по операционной эффективности РиД, которая пройдет в г. Целью сессии является демонстрация практических кейсов, обмен лучшими практиками, обсуждение стратегии направления ЛИНиЯ 2.0, а также совершенствование НМД процесса И.Д.Е.Я. Для участия во встрече приглашены [PERSON] и [PERSON]. Прошу Вас рассмотреть возможность участия в мероприятиях функции УППОЭ сотрудников ООО [ORGANIZATION]-[OBJECT]. С уважением, [PERSON] [PERSON] ([CONTACT])",Блок бизнес-директора
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ [ORGANIZATION] Адрес для корреспонденции: [LOCATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] Тел.: [CONTACT] e-mail: [CONTACT] [PERSON] на No от Приглашение на Демо-день цифровых НИОКР-проектов Уважаемый [PERSON]! Мы рады пригласить Вас на Демо-день цифровых НИОКР-проектов третьей волны [DATE_TIME], мероприятие состоится [DATE_TIME] (МСК). На встрече команда Дирекции цифрового инжиниринга поделится знаниями о том, как цифровые технологии могут помочь решить актуальные бизнес-задачи. В рамках мероприятия эксперты по технологиям и представители бизнеса обсудят возможности масштабирования решений для различных подразделений и дочерних обществ [ORGANIZATION]. Не упустите возможность узнать о последних тенденциях в области цифровых технологий и познакомиться с передовыми решениями! Проекты, которые будут представлены на мероприятии: 1. Малый прототип амплитудной корректной машины Изинга 2. 3D-печать металлических МТР на FDM принтере 3. Система проактивной диагностики динамического оборудования бурения 4. Безэкипажный катер для проведения гидрографических исследований 5. Комплексное исследование Самообучающаяся модель пласт 6. Акустический мониторинг утечек газа 7. Георадиолокация для определения мощности отсыпки 8. Дизайн полиуретановых материалов 9. Проверка возможности применения стратосферной управляемой платформы для задач прогнозирования ледовой обстановки [ORGANIZATION] Ожидаем вас в конференц-зале (304), расположенном в Цифергаузе по адресу: [LOCATION] С уважением, Директор Дирекции цифрового инжиниринга [PERSON] [PERSON] [CONTACT]",Блок бизнес-директора
"[ORGANIZATION] [ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT]",Блок бизнес-директора
"[ORGANIZATION] ЗАМЕСТИТЕЛЬ ПРЕДСЕДАТЕЛЯ ПРАВЛЕНИЯ – НАЧАЛЬНИК ДЕПАРТАМЕНТА Адрес для почтовой корреспонденции: БОКС No 1255, [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT], факс: [CONTACT], телекс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об участии в проекте Уважаемые коллеги! В 2024 году газотранспортным предприятием [ORGANIZATION] начата работа в части роботизации и внедрения технологического оборудования с использованием систем искусственного интеллекта. Первым проектом стал Роботизированный многофункциональный мобильный обходчик роботизированная платформа для выполнения плановых обходов территории производственных объектов, выполнения замеров загазованности и механизированной уборки территории. В октябре 2024 года проект продемонстрирован на Петербургском международном газовом форуме, где получил одобрение Председателя Правления [ORGANIZATION] в части развития и расширения области применения на объектах [ORGANIZATION]. Прошу принять участие в реализации указанного проекта с целью расширения области применения роботизированной платформы. Контактное лицо [ORGANIZATION] [PERSON] [CONTACT]. Приложение 1. Презентация проекта на 7 л. Приложение 2. Список рассылки на 1 л. С уважением [PERSON]",Блок бизнес-директора
"[ORGANIZATION] НЕФТЬ Публичное акционерное общество [ORGANIZATION] нефть (ПАО [ORGANIZATION] нефть) Для корреспонденции: [LOCATION], [DATE_TIME] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION]-neft.ru [ID], [ID], [ID], [ID] на No** _**от** _** Об утверждении матрицы распределения ответственности Уважаемый [PERSON]! В ответ на Ваше письмо исх. Письмо от [DATE_TIME] No [DOCUMENT_NUMBER] сообщаем следующее: 1. Проработано распределение функционала и ответственности между производственными Блоками дочернего общества [ORGANIZATION] при реализации договора видеоаналитики, подготовлен проект матрицы для направлений видеоаналитики бурение и ТКРС (Приложение No1). 2. Согласно методологии УИД (СК-[CONTACT] Управление исполнением договорных обязательств при выполнении работ/услуг в Блоке разведки и добычи) за формирование команды реализации договора отвечает Руководитель дочернего общества. 3. Для организации эффективной работы по сопровождению реализации договоров видеоаналитики по направлениям бурение и ТКРС предлагаем Вам сформировать и утвердить приказ по [ORGANIZATION]-[OBJECT] на основе подготовленной матрицы (Приложение No1) Приложение: 1. Матрица распределения функционала и ответственности. С уважением, [PERSON] [PERSON]",Блок бизнес-директора
"Директору по бизнес-трансформации [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [ID] [CONTACT] e-mail: [CONTACT] http://www.[ORGANIZATION].ru Благодарность Уважаемый [PERSON]! Настоящим письмом выражаем благодарность Вам и Вашей команде в лице [PERSON] и [PERSON] за активное участие, содействие и профессионализм в реализации ОПЭ цифрового решения [DOCUMENT_NUMBER] Моя функция. Благодаря вкладу Вашей команды, тираж завершился успешно и команда цифрового проекта смогла достигнуть поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на продолжение плодотворного взаимодействия в будущем. С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]",Блок бизнес-директора
"Цифровая индустриальная платформа [ORGANIZATION] [LOCATION] ОГРН [ID] / ИНН [ID] / КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] На [DOCUMENT_NUMBER] от [PERSON] Уважаемый [PERSON]! Направляем Вам коммерческое предложение на оказание услуг по переустановке заправляемых бензиновых [ORGANIZATION] сумма [FINANCIAL_DATA] (три миллиона девятьсот двадцать пять тысяч шестьсот рублей без НДС, облагается НДС в соответствии с законодательством РФ (20). Организация: 1. Срок действия предложения – 60 календарных дней. 2. Перечень выполняемых работ в соответствии с Техническим заданием. 3. Оплата выполненных работ осуществляется Заказчиком за фактически оказанные объемы работ на основании подписанных Сторонами Акта выполненных работ и счета-фактуры, иными видами, включая электронного документооборота в течение 30 (тридцати) календарных дней месяца следующего, за месяцем выполнения счета-фактуры. Обратная связь Заказчика по онлайн счетам осуществляется исключительно с момента списания денежных средств с корреспондентского счета банка Заказчика. 4. Срок выполнения работ с [DATE_TIME] по [DATE_TIME]. 5. В случае если качественные или количественные характеристики системы будут изменены Заказчиком, либо возникнут дополнительные требования по реализации проекта, оценка затрат на реализацию может быть изменена. Приложении: 1. Ориентировочный расчет стоимости. Утвержденные ставки цен на [DATE_TIME]. Техническое задание. С уважением, [PERSON] [LOCATION] [CONTACT] [PERSON] [ORGANIZATION] [LOCATION] [ID] / ИНН [ID] / КПП [ID] Приложение No1 Организационный пакет СТОУМОСТМ: No [DOCUMENT_NUMBER] Роль [DOCUMENT_NUMBER] Единица измерения Кол-во Цена, руб./шт Итого, руб. 1 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] 2 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] 3 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] Итого [NUMBER] [FINANCIAL_DATA] Техпасыбхбим дипектоп [PERSON] [ORGANIZATION] [LOCATION] [CONTACT]",Блок бизнес-директора
"[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [CONTACT] [ID] Уважаемый [PERSON]! В ответ на Ваше исходящее письмо [DOCUMENT_NUMBER] от [DATE_TIME], касаемо технического решения [DOCUMENT_NUMBER], сообщаем, что ориентировочный срок поставки ТМЦ согласно перечню технического решения [DOCUMENT_NUMBER] первая половина [DATE_TIME]. Дополнительно сообщаем, что в приложении No4 к техническому решению [DOCUMENT_NUMBER] предусмотрены корректировки алгоритмов управления ТЭНов обогрева КВОУ. И.о. заместителя управляющего директора-директора по сервису [PERSON] [PERSON] т: [CONTACT] э: [CONTACT] Интегрированная система менеджмента сертифицирована на соответствие ISO 9001, ISO 14001, ISO 45001 [STANDARD]",Блок деректора по газу
"[ORGANIZATION] [DOCUMENT_NUMBER] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Генеральному директору [ORGANIZATION] [PERSON] Адрес: [LOCATION] Уважаемый [PERSON] [ORGANIZATION] специализируется на деятельности майнингового оператора, занимается размещением майнингового оборудования в data центрах и имеет успешный опыт работы в [LOCATION]. Предлагаем рассмотреть возможность сотрудничества в области использования попутного нефтяного газа (ПНГ) для генерации электроэнергии и ее последующего использования в целях осуществления майнинговой деятельности, добычи цифровых финансовых активов (ЦФА). Наше предложение включает: 1. Размещение майнингового оборудования в блок-боксах на базе 20 и 40 футовых морских контейнеров 2. Варианты использования ваших энергогенерирующих установок на основе ПНГ. 3. Выходное напряжение для эксплуатации оборудования – 0,4 кВ. 4. Предоставление участка для размещения блок-боксов с оборудованием в аренду в близи энергогенерирующих установок. 5. Деятельность ведется в полном соответствии с законами [ID] от [DATE_TIME] и [ID] от [DATE_TIME] Мы уверены, что сотрудничество с нашей компанией позволит оптимизировать ваши бизнес-процессы и снизить затраты, в частности уменьшить негативное воздействие на окружающую среду (НВОС) и соответствующие издержки, вызываемые сжиганием ПНГ на факельных установках. Готовы предоставить подробную информацию и обсудить условия. Просим вас рассмотреть наше предложение и в случае заинтересованности связаться с нами. С уважением, Генеральный директор [ORGANIZATION] [PERSON]",Блок деректора по газу
"[ORGANIZATION] Директору по газу [ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] от [DATE_TIME] О выдаче ТУ на подключение оборудования связи ЗТГП Уважаемый [PERSON]! В ответ на Ваше обращение сообщаю, что для выдачи технических условий на установку и подключение указанного оборудования необходимо внести корректировки в состав оборудования и предоставить сведения по замечаниям представленные в приложении. С целью проведения обследования и проработки совместных технических решений по подключению оборудования связи в здании СЭРБ УКПГ предлагаю направить специалистов [ORGANIZATION] на [OBJECT]. Приложение: Замечания к документации на 1 л. в 1 экз. Заместитель главного инженера по автоматизации и метрологическому обеспечению [PERSON] [PERSON] ([CONTACT]) ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]",Блок деректора по газу
